physName,comment,commentDate,ratingStaff,ratingPunctuality,ratingHelpfulness,ratingKnowledge
Dr. Niculina Mariana Margulies,I echo previous comments and ratings! Great experience. Thank you!!!,"October 24, 2011",5,5,5,5
Dr. Niculina Mariana Margulies,"A Mt. Sinai emergency doctor referred me to the Upper Canada Lower Bowel Clinic after I was admitted for a very low hemoglobin count. Dr. Margulies was shocked that the referring doctor didn't see the urgency of identifying the cause of my problem; i.e. they should have conducted tests while I was at the hospital. Since then, Dr. Margulies has been amazingly dedicated to helping diagnose the cause of my disease. I am very grateful for her commitment to my health. Thank you.","June 18, 2011",5,5,5,5
Dr. Niculina Mariana Margulies,"What a wonderful doctor and person! She acts very professionally and she is very knowledgeable, in addition to which, Dr. Margoulis is the most soft-spoken, encouraging and caring doctor we have ever met. She really cares for her patients! After answering all our questions thoroughly, she even came back to us after the appointment with further advice that she had thought of, just as we were leaving the clinic... Multumim, Dr. Margoulis!","June 9, 2011",5,5,5,5
Dr. Niculina Mariana Margulies,"Fantastic care, kind, knowledgeable and most important, quick to deal with serious diseases, such as colon cancer. Spent extra time to address all questions asked.The medical report was dictated the same day of the visit.","July 24, 2010",5,5,5,5
Dr. Niculina Mariana Margulies,"Very meticulous, skilled, and kind. She came earlier in the morning to expedite my case.","July 15, 2010",5,5,5,5
Dr. Niculina Mariana Margulies,This doctor has patience and a patient focused approach. I felt very comfortable and valued as a patient. All my questions were answered and she addressed all my worries. I have complete trust in her.,"July 15, 2010",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition",So lucky to have found that really listened to me finally . I am sure my daughter will be in good hand from now on. Thank you Dr. Hussein for every second you have spent listening to my concerns.,"June 25, 2017",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr. Hussein where do I start not even a million words can express this doctors kindness and knowledge. He is a blessing from god, unlike other doctors not all but some. Doctor Hussein cares and listens to every concern. Some doctors just call do test and don't care but Dr Hussein is a blessIng this is what I call a real doctor.","April 21, 2017",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","My son had a constant fever and coughing went to see walk in clinic doctor she gave him antibiotic but didn't work on him and after a 5 days he stops walking and started crawling then I realized something wrong. I went to another walk in clinic the doctor asked for xray and also refereed to Dr. Hussein, xray came with no sign of any trouble but Dr. Hussein once physically checked my 7 years old said that no your son has a Pneumonia and the pain is captured his bones. I said but the xray came with nothing but he said my experience say something else so he started treatment of Pneumonia and within 2 days my son started running. I would say Dr. Hussein is the best child specialist I have ever met. God bless you. Milton we are lucky that we got Dr. Hussein.","April 18, 2017",4,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr. Hussein is amazing. We are from Oakville to Milton to see him as he is really thoughtful and knowledgeable in his professional field. He truly takes time to listen to our concerns and explain the issues. My two kids are in great hands, especially for my little one, who has progressed a lot with his help. We are lucky to have him as our kids' paediatrician.","March 3, 2017",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","I've never had a Dr sit and listen and ask questions like Dr Hussein. Both my son and I felt like he really cared about helping us, not trying just to get us in and out. First appointment he took a full hour with us, to really get a handle on our problem. Called me while he was on vacation to make sure we got the test he ordered. He runs bit behind, but that's because he is really trying to help his patients, not just rush them through.","February 27, 2017",4,4,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","This is the best Doctor I have ever met.....We come from Hamilton to Milton 
for his knowledge and expertise...he has solved all my sons issues and has a great bedside manner....as well as he takes the time to explain every little detail about the condition he has diagnosed.......Thanks you are special......","February 24, 2017",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","My child feels confident when he sees Dr Hussein, we are greatful to have Dr. Hussein as my child's dr. Thank again for all your helph and understanding my child's needs","February 22, 2017",4,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr Hussein is a wonderful doctor. I am grateful to have him as my sons doctor, he really takes the time to explain things and is always willing to help us last minute. He is an overall great doctor and has great bed side manner as well","February 21, 2017",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr. Hussein is wonderful! 
Although we only recently started seeing him for my son, we feel so confident that he is in great hands with him. From our first visit with him, he began ordering all necessary tests to ensure he correctly treats our son, and also took the time to explain everything in detail. 
Dr. Hussein takes the time to really listen to the issue and address all our concerns. He does not rush us out of the room but rather is so patient and kind. He truly has a calm ora about him and you know that your child will get the best care while with him.
I have already referred him to many people in hopes that he too can see them because he is that good!","February 21, 2017",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition",Dr. Hussein is outstanding and you are very lucky if you get the opportunity to have him care for your children. Not only does he have a specialty but he is well versed in the importance of nutrition and is not interested in forcing drugs etc. He spent at least 30 minutes with each of my boys and does not let you leave the appointment until you feel confident that all be will okay. He has moved out of our area and this is quite disappointing for the entire family. I doubt you will find a better Doctor that looks at the full picture of health and is that patient and knowledgeable.,"November 16, 2016",5,4,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr.Hussein is really a real doctor that cares about you child only and nothing else .Yes, it feels he spends lots of time but you may wait a maximum of 10-20 minutes at most and there are days I just walked in .He is very efficient and focused. He addresses your child as a whole not only the issue that you came in for . He is extremely professional and caring with heart warming approach. My kids love him.","October 9, 2016",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Highly recommend Dr. Hussein.
Smart and kind. My kids love him.","September 20, 2016",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr. Mohammad Hussein is an amazing Doctor. He takes his time with his patience making sure they have the best care needed. He treated my son as if he were his son. He's very friendly, approachable, knowledgable and professional. I would definitely recommend Dr. Hussein .","August 28, 2016",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr. Hussein exemplifies and portraits the human being, the physician as well as the pediatrician.
Thanks Dr Hussein for being my three kids' pediatrician.","August 28, 2016",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition",After having a very competent paediatrician retire we were extremely fortunate to have found Dr. Hussein. He is very thorough and never rushes taking the time to develop a rapport with little ones. My three year old son is very comfortable with Dr. Hussein and has taken quite a liking to him. He takes the time to discuss issues and ensure that parents are fully aware and understanding of situations and diagnoses. Really a great paediatrician!,"August 28, 2016",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition",Had trouble finding a Ped Dr for my son KJ. I happened upon Dr Hussein and he was a Blessing from God. He meticulously explained my son's hospital discharge records to me in layman terms without me having to ask. He was patient and listened closely to my concerns and made me feel at ease with his course of actions. He was very attentive to my son and took his time. I never felt rushed. I love his style and I see why he has others keep coming back. I hope he opens another practice close by but I will travel to see him regardless. Thanks for doing your job with care Dr Hissein.,"August 26, 2016",4,4,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr. Hussein is excellent. He is knowledgable, thoughtful, and caring. He takes time to listen to us and address our concerns.","August 25, 2016",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr. Hussein is a great doctor and I agree with all the 5 star reviews that are posted already. The reviews accurately reflect how Dr. Hussein works with you. My 16 year old son had been to the hospital 3 times before being referred to Dr. Hussein. What a blessing!!!! Dr. Hussein spent well over an hour when he first saw my son to clearly understand what was going on with him and he took the time to explain everything to my wife and I. Dr. Hussein is a very caring individual and you can be rest assured that he will make all the right decisions to look after your child’s medical needs. Despite his busy schedule he always makes time to respond to your emails or phone calls. We had to cancel our travel plans this summer because of my son’s illness and Dr. Hussein took the time to fill out all the paperwork for our insurance company. I felt bad taking time from his busy schedule but really appreciated that he took the time to help us. I can tell you that not many doctors will do this for you these days. Dr. Hussein took the initiative and got us the right help & medical care from other specialists in the hospitals. If it wasn’t for Dr. Hussein we would still be caught up the medical system and not have the right medical care for our son. He used the latest research, technology and medical evidence when he was treating our son. We really appreciate what Dr. Hussein has done for our son.","August 24, 2016",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition",Dr.Hussein is real human doctor that cares about you and your child and nothing else. He actually listens and addresses our issues. He works around time restriction brilliantly and he is very effective in managing his time despite his busy schedule .He is very professional and hard working . He empowered us about the diagnosis of our kid that has been overlooked by so many doctors prior to seeing him . Dr.Hussein is one of the few doctors that I came across that quote the most evidence-based literature when explains our son condition. Dr.Hussein has cared and fought for what's in the best interest of our son. Dr.Hussein always thought out of the box and did not limit his view to the current problem and that's he figured out what's wrong with our son. I always felt so happy and satisfied with the quality of care he provided to our son.,"August 23, 2016",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition",Great doctor taking time to listen. Wery knowledgeable.,"August 23, 2016",4,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr Hussein is extremely knowledgable and caring. He takes the time to evaluate your child but most importantly comfort your child before evaluating. My LO has stranger anxiety so Dr Hussein chose to look away until he calmed down and then became friends with him before checking him. 
I came across Dr Hussein through my best friend as I had visited 6 different doctors in hopes to figure out why my LO wouldn't feed, kept throwing up and loosing weight. Dr Hussein in the first appointment diagnosed the problem correctly and my little guy has been doing great since then! No other doctor was able to help me and kept treating him for the wrong stuff or said it was genetic that he was going to be skinny. 
Absolutely worth the wait to see him because he doesn't rush you on your appointment and answers every question you might have in full detail. 
Excellent guide, excellent Doctor!","June 25, 2016",5,4,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition",Dr. hussein is brilliant! He is very helpful and caring and he makes time for your kids. He takes the time to listen to your concerns and is very knowlegable! He treats your kids like they are his own! Excellent doctor and so happy he has come to Oakville now,"May 20, 2016",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","Dr. Hussein is excellent. Have had 4 appts with my daughter and each one has been positive. Refers to the latest research and evidence when treating patients, does not rush, and addresses all concerns. Be prepared to wait a little.","May 2, 2016",5,4,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition",First experience with this Doctor is fantastic! He took the time over the phone to listen to me and start us on our road to recovery well in advance of our appointment.,"March 24, 2016",5,5,5,5
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition",I cannot comment on dr Hussain but my experience was waiting for an hour with my 3 month old who finally had a meltdown and we had to leave.I don't have anything nice to say about the office or staff and will not be returning.will go elsewhere.,"March 17, 2016",1,1,2,3
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition","He took one hour to access my daughters condition. He acknowledged subtle symptoms my daughter had that other doctors had ruled out saying they were 'normal' or 'fussy eating'. He has a game plan for the future to help her with her reflux and feeding issues ( again issues that other doctors considered to be not a big deal). I've looked long and hard for two years for someone to help with my daughters issues, I couldn't be more satisfied with his service and would highly recommend him.","March 15, 2016",5,5,5,4
"Dr. Mohammad Hussein , M.B.Ch.B , FS , MD , FAAP, Consultant Paediatrician & Paediatric Gastroenterologist & Clinical Nutrition",He is really good doctor he actually takes the tim to listen to us,"March 11, 2016",5,5,5,5
Dr. Terry Moore,They don't make them like this anymore!!! Tha's to bad.,"May 10, 2016",5,5,5,5
Dr. Terry Moore,This doctor is RETIRED. His extension in the St. Michaels' is no longer working.,"February 19, 2016",1,1,1,1
Dr. Terry Moore,Can anyone tell me Dr Moore number I don't know where to find it and I need him ASAP,"January 23, 2016",4,5,5,5
Dr. Terry Moore,"Dr. Terry Moore is the best doctor I have ever had. I was referred to Dr. Moore after seeing two imminent GI specialists in Toronto, having tests done by both, and being told there was nothing wrong. But I was still sick! I had very low expectations that Dr. Moore would find anything new but he reviewed the tests and letters that my family doctor had included in the referral and said “You have IBS”. He then drew a picture, upside-down so that I could read it, of what was happening in my body and why I was having all the pain and bloating. He also labelled it upside-down and this may explain why his writing is considered to be so bad. Dr. Moore then gave me a sheet of what I can eat, one of what I can’t eat, and one of what I have to eat every day. Using these sheets of instructions, I soon had my illness under control. I have been overjoyed to find a doctor that actually believed me, listened to what I said and gave me a diagnosis! Dr. Moore gave me an hour of his time that day and for each follow-up appointment I have had since then. He is always prompt and attentive to his patients. Dr. Moore is a kind man and doctor and, what I would call, a gentleman. He never talks down to me and always listens carefully to everything I have to discuss. His secretary, Bev, is also very kind, caring and efficient. My only problem is that Dr. Moore is retiring in 2015 and will not be there for my next annual appointment. He explained that he loves his work and doesn’t want to leave but it is a teaching hospital and the newly trained GI specialists with new ideas have to move up the hospital ladder. Dr. Moore is the Best and he will be hard to replace.","May 4, 2015",5,5,5,5
Dr. Terry Moore,"I've been in this man's care for a decade. He's a straight shooter, compassionate, knowledgeable, outside the box thinker...and most importantly, he cares about what I have to say...devotes a full hour to an appointment and never shoos me out of his office...and I trust his judgment.","February 5, 2015",5,4,5,5
Dr. Terry Moore,Excellent doctor. Takes the time to speak and show with diagrams what he did and the outcome following a colonoscopy. Very impressive to me as in this day and age it is hard to find someone who will take the time. Highly recommended.,"September 30, 2014",5,5,5,5
Dr. Terry Moore,"this Dr. is the best Dr. I have seen.
has solved my issues by being extremely patient, systematic, methodical. After 2 years of appointments and procedures every few months, he identified the root of the issue and recommended concrete suggestions to improve the conditions (which worked marvelously). Highly recommended","September 15, 2014",5,5,5,5
Dr. Terry Moore,"For many years now, Dr. Moore has been my specialist and I would never go anywhere else. Dr. Moore is the best at what he does, he is empathetic kind and caring and he treats you like a person. His secretary Beverly is a great help to him and is wonderful to deal with. St Mikes is my hospital and this is the only place I would be. To have dr Moore as your doctor is a blessing and alot of other doctors could benifit from his human touch and experience.","August 26, 2013",5,5,5,5
Dr. Terry Moore,"Dr. Moore is the best specialist/GI I have ever had. He's compassionate, caring, and very thorough. I, through circumstance, was lucky to have him as my doc from emerg and he turned my condition around. I have nothing negative to say about him and feel blessed he was my doc.","July 8, 2013",4,5,5,5
Dr. Terry Moore,"I have had Dr. Moore for over twenty years and he has helped me through some very difficult situations. He treats you like a human being not just a number. Dr. Moore is very knowledgable, caring and actually listens to what you say. Thank you Dr. Moore, there should be more doctors like you.","May 17, 2013",5,5,5,5
Dr. L Persyko,"My mother was a patient of Dr Persyko for 30 + years. He was the only one my mother trusted. When she passed away, Dr Persyko sent a card of condolences to us. He is an amazing man!","August 3, 2017",5,5,5,5
Dr. L Persyko,"Absolutely LOVE Dr Persyko! He is old school, but listens and knows his stuff. He will not stop until he gets to the bottom of the issue.","February 21, 2017",5,5,5,5
Dr. L Persyko,Best doctor I have ever had the pleasure to deal with.,"September 19, 2016",5,5,5,5
Dr. L Persyko,"Dr. Persyko has been looking after my husband and me for probably around 10 years now. We both like him very much. He is very professional, attentive and kind. He is also very knowledgeable and willing to take time to answer questions. We will be very disappointed if and when he ever decides to retire.","December 3, 2015",5,5,5,5
Dr. L Persyko,"Dr Persyko the best doctor I have ever had the pleasure of meeting. My family has been seeing him for years and we have never had a bad experience. Every doctor should take note from his kindess, compassion, and respect for his clients.","December 29, 2014",5,5,5,5
Dr. L Persyko,"DR . Persyko is one of the Finest Doctors I have ever come across. He is Remarkable, Highly Knowledgeable & Dedicated. He is a personification of Humility. He is a true Role Model for other Doctors. I don't need to see him too often as his diagnosis and treatment is already helping me. God Bless Him.","December 16, 2014",5,5,5,5
Dr. L Persyko,"Dr Persyko is a very kind and gentle doctor,you never have to wait long in the office.His expertise and knowledge in his field is excellent,best doctor in Ontario.","October 3, 2013",5,5,5,5
Dr. L Persyko,Always on time. Makes all the appointments himself. Answers his own phone. Have not seen any other specialist have this much care and concern for his/her patients. I have been his patient for 10+ years.,"November 23, 2011",5,5,5,5
